team,R32,R16,QF,SF,Final,Third,Champion
Argentina,100.0,82.05,67.38,53.43,35.29,12.43,22.69
France,100.0,79.56,51.92,35.02,22.2,8.55,13.2
Spain,100.0,69.01,49.72,37.42,22.8,9.39,13.17
England,99.97,74.97,50.83,31.41,18.06,8.63,10.62
Germany,100.0,75.01,36.54,20.97,12.03,4.99,5.76
Brazil,100.0,61.15,39.63,21.64,11.0,6.05,5.4
Colombia,98.51,73.28,46.55,21.36,9.98,6.36,4.6
Netherlands,100.0,54.69,39.06,18.76,10.44,4.54,4.48
Portugal,79.79,54.96,29.8,16.35,7.43,4.38,3.04
Morocco,100.0,48.48,28.69,13.62,6.65,3.47,2.91
Norway,99.3,67.42,32.49,15.47,6.66,4.11,2.69
Japan,100.0,45.72,24.92,12.23,5.27,3.13,2.2
Mexico,100.0,67.32,29.59,12.12,4.35,3.29,1.72
Belgium,94.26,63.61,28.38,12.95,4.78,3.64,1.58
Switzerland,100.0,66.36,26.67,7.91,3.04,1.85,0.92
United States,100.0,79.0,42.97,13.58,3.8,3.1,0.91
Austria,96.48,36.66,17.62,7.31,2.19,1.76,0.72
Canada,100.0,60.6,20.94,5.27,1.62,1.06,0.46
Ivory Coast,95.74,32.97,11.43,4.0,1.43,1.01,0.42
Uruguay,46.73,21.59,10.24,3.99,1.31,0.93,0.36
Senegal,64.46,26.63,11.29,3.57,1.19,0.78,0.31
South Korea,96.3,38.62,11.95,3.26,1.0,0.7,0.31
Croatia,85.37,32.34,9.84,4.63,1.33,1.01,0.28
Egypt,100.0,44.31,15.83,5.2,1.34,1.16,0.22
Algeria,63.0,22.09,9.16,3.4,0.91,0.66,0.2
DR Congo,54.31,19.88,6.36,2.06,0.6,0.41,0.2
Australia,89.98,33.05,7.84,2.64,0.74,0.57,0.19
Paraguay,82.64,28.42,6.6,2.05,0.64,0.4,0.15
Ecuador,22.99,10.38,4.51,1.39,0.49,0.36,0.14
Iran,69.8,27.14,7.93,2.23,0.5,0.52,0.06
Cape Verde,65.89,9.39,2.05,0.5,0.1,0.05,0.03
Sweden,94.44,15.98,4.73,1.16,0.28,0.21,0.02
Ghana,71.22,14.06,2.59,0.46,0.07,0.08,0.01
Czech Republic,23.49,7.8,1.82,0.32,0.04,0.05,0.01
Scotland,81.82,19.86,4.39,0.95,0.2,0.19,0.01
Uzbekistan,36.37,10.35,2.33,0.56,0.1,0.13,0.01
South Africa,11.76,1.86,0.18,0.01,0.0,0.0,0.0
Haiti,1.59,0.12,0.03,0.0,0.0,0.0,0.0
Bosnia and Herzegovina,70.57,10.67,2.94,0.39,0.07,0.01,0.0
Qatar,10.04,0.41,0.03,0.0,0.0,0.0,0.0
Turkey,13.94,2.11,0.5,0.12,0.05,0.0,0.0
New Zealand,5.94,0.75,0.08,0.01,0.0,0.0,0.0
Curaçao,14.16,1.47,0.08,0.0,0.0,0.0,0.0
Tunisia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saudi Arabia,34.94,4.13,0.85,0.14,0.0,0.01,0.0
Iraq,5.26,0.75,0.19,0.04,0.0,0.01,0.0
Jordan,8.63,1.3,0.25,0.02,0.0,0.0,0.0
Panama,10.31,1.72,0.28,0.08,0.02,0.02,0.0
